Player,College/Univ
Caleb Williams,USC
Jayden Daniels,LSU
Drake Maye,North Carolina
Marvin Harrison Jr.,Ohio St.
Joe Alt,Notre Dame
Malik Nabers,LSU
JC Latham,Alabama
Michael Penix,Washington
Rome Odunze,Washington
J.J. McCarthy,Michigan
Olumuyiwa Fashanu,Penn St.
Bo Nix,Oregon
Brock Bowers,Georgia
Taliese Fuaga,Oregon St.
Laiatu Latu,UCLA
Byron Murphy,Texas
Dallas Turner,Alabama
Amarius Mims,Georgia
Jared Verse,Florida St.
Troy Fautanu,Washington
Chop Robinson,Penn St.
Quinyon Mitchell,Toledo
Brian Thomas,LSU
Terrion Arnold,Alabama
Jordan Morgan,Arizona
Graham Barton,Duke
Darius Robinson,Missouri
Xavier Worthy,Texas
Tyler Guyton,Oklahoma
Nate Wiggins,Clemson
Ricky Pearsall,Florida
Xavier Legette,South Carolina
Keon Coleman,Florida St.
Ladd McConkey,Georgia
Ruke Orhorhoro,Clemson
Jer'Zhan Newton,Illinois
Ja'Lynn Polk,Washington
T'Vondre Sweat,Texas
Braden Fiske,Florida St.
Cooper DeJean,Iowa
Kool-Aid McKinstry,Alabama
Kamari Lassiter,Georgia
Max Melton,Rutgers
Jackson Powers-Johnson,Oregon
Edgerrin Cooper,Texas A&M
Jonathon Brooks,Texas
Tyler Nubin,Minnesota
Maason Smith,LSU
Kris Jenkins,Michigan
Mike Sainristil,Michigan
Zach Frazier,West Virginia
Adonai Mitchell,Texas
Ben Sinnott,Kansas St.
Michael Hall,Ohio St.
Patrick Paul,Houston
Marshawn Kneeland,Western Michigan
Chris Braswell,Alabama
Javon Bullard,Georgia
Blake Fisher,Notre Dame
Cole Bishop,Utah
Ennis Rakestraw,Missouri
Roger Rosengarten,Washington
Kingsley Suamataia,BYU
Renardo Green,Florida St.
Malachi Corley,Western Kentucky
Trey Benson,Florida St.
Brandon Coleman,TCU
Caedan Wallace,Penn St.
Junior Colson,Michigan
Andru Phillips,Kentucky
Isaiah Adams,Illinois
Trevin Wallace,Kentucky
Cooper Beebe,Kansas St.
Bralen Trice,Washington
Kiran Amegadjie,Yale
Jonah Elliss,Utah
Delmar Glaze,Maryland
Calen Bullock,USC
Matt Goncalves,Pittsburgh
Jermaine Burton,Alabama
Christian Haynes,Connecticut
Tip Reiman,Illinois
Blake Corum,Michigan
Roman Wilson,Michigan
Zak Zinter,Michigan
Dominick Puni,Kansas
Marist Liufau,Notre Dame
MarShawn Lloyd,USC
Tykee Smith,Georgia
Elijah Jones,Boston Col.
Ty'Ron Hopper,Missouri
Jalen McMillan,Washington
Adisa Isaac,Penn St.
Jalyx Hunt,Houston Christian
DeWayne Carter,Duke
Jarrian Jones,Florida St.
McKinnley Jackson,Texas A&M
Payton Wilson,North Carolina St.
Kamren Kinchens,Miami (FL)
Luke McCaffrey,Rice
Ja'Tavion Sanders,Texas
Troy Franklin,Oregon
Layden Robinson,Texas A&M
Dadrion Taylor-Demerson,Texas Tech
Justin Eboigbe,Alabama
Cedric Gray,North Carolina
Theo Johnson,Penn St.
Khyree Jackson,Oregon
Brandon Dorlus,Oregon
Javon Baker,Central Florida
Evan Williams,Oregon
Decamerion Richardson,Mississippi St.
Devontez Walker,North Carolina
Javon Foster,Missouri
Erick All,Iowa
Jordan Jefferson,LSU
Tanor Bortolini,Wisconsin
Tyrice Knight,Texas-El Paso
Mason McCormick,South Dakota St.
Jaylen Wright,Tennessee
AJ Barner,Michigan
Tory Taylor,Iowa
Cade Stover,Ohio St.
Malik Mustapha,Wake Forest
Bucky Irving,Oregon
Giovanni Manu,British Columbia
Will Shipley,Clemson
Ray Davis,Kentucky
Isaac Guerendo,Louisville
T.J. Tampa,Iowa St.
Jared Wiley,TCU
Sione Vaki,Utah
Jaden Hicks,Washington St.
Braelon Allen,Wisconsin
Jacob Cowing,Arizona
Nehemiah Pritchett,Auburn
Tarheeb Still,Maryland
Xavier Thomas,Clemson
Jordan Magee,Temple
Cam Hart,Notre Dame
Sedrick Van Pran-Granger,Georgia
Anthony Gould,Oregon St.
JD Bertrand,Notre Dame
Austin Booker,Kansas
Kris Abrams-Draine,Missouri
Jarvis Brownlee,Louisville
Audric Estime,Notre Dame
Tommy Eichenberg,Ohio St.
Josh Newton,TCU
Spencer Rattler,South Carolina
Jaylon Carlies,Missouri
Ainias Smith,Texas A&M
Deantre Prince,Mississippi
Brennan Jackson,Washington St.
Jeremiah Trotter Jr.,Clemson
Jamari Thrash,Louisville
Chau Smith-Wade,Washington St.
Mohamed Kamara,Colorado St.
Hunter Nourzad,Penn St.
Edefuan Ulofoshio,Washington
Dominique Hampton,Washington
Christian Jones,Texas
Jacob Monk,Duke
Jaylin Simpson,Auburn
Rasheen Ali,Marshall
Tyrone Tracy Jr.,Purdue
Keilan Robinson,Texas
Javon Solomon,Troy
Kitan Oladapo,Oregon St.
Bub Means,Pittsburgh
Jordan Travis,Florida St.
Trevor Keegan,Michigan
Isaiah Davis,South Dakota St.
Caelen Carson,Wake Forest
Jaylan Ford,Texas
Qwan'tez Stiggers,
Walter Rouse,Oklahoma
Logan Lee,Iowa
Sataoa Laumea,Utah
Marcellas Dial,South Carolina
Kimani Vidal,Troy
Jha'Quan Jackson,Tulane
Darius Muasau,UCLA
Malik Washington,Virginia
Johnny Wilson,Florida St.
Jase McClellan,Alabama
Casey Washington,Illinois
Jamal Hill,Oregon
Mekhi Wingo,LSU
Dylan McMahon,North Carolina St.
Tejhaun Palmer,Ala-Birmingham
D.J. James,Auburn
Joe Milton,Tennessee
Tanner McLachlan,Arizona
Ryan Watts,Texas
Tyler Davis,Clemson
Zion Logue,Georgia
Patrick McMorris,California
Khristian Boyd,Northern Iowa
Jaden Crumedy,Mississippi St.
Micah Abraham,Marshall
Travis Glover,Georgia St.
Will Reichard,Alabama
Tylan Grable,Central Florida
Jawhar Jordan,Louisville
Nathaniel Watson,Mississippi St.
Michael Jerrell,Findlay
Dylan Laube,New Hampshire
Joshua Karty,Stanford
Christian Mahogany,Boston Col.
Kamal Hadden,Tennessee
Cam Little,Arkansas
Jordan Whittington,Texas
Cedric Johnson,Mississippi
Jarrett Kingston,USC
Ryan Flournoy,SE Missouri St.
Beaux Limmer,Arkansas
Devin Leary,Kentucky
Daequan Hardy,Penn St.
Elijah Klein,Texas-El Paso
Travis Clayton,
Javontae Jean-Baptiste,Notre Dame
Trey Taylor,Air Force
Daijahn Anthony,Mississippi
Brenden Rice,USC
Jaden Davis,Miami (FL)
Myles Harden,South Dakota
Nick Samac,Michigan St.
M.J. Devonshire,Pittsburgh
Michael Jurgens,Wake Forest
Jaheim Bell,Florida St.
Levi Drake Rodriguez,Texas A&M-Commerce
Nathan Thomas,Louisiana
Jonah Laulu,Oklahoma
Devaughn Vele,Utah
Myles Cole,Texas Tech
Matt Lee,Miami (FL)
Solomon Byrd,USC
Josiah Ezirim,Eastern Kentucky
Michael Barrett,Michigan
Tahj Washington,USC
James Williams,Miami (FL)
Jowon Briggs,Cincinnati
Justin Rogers,Auburn
Michael Pratt,Tulane
Devin Culp,Washington
Marcus Harris,Auburn
C.J. Hanson,Holy Cross
LaDarius Henderson,Michigan
Sanoussi Kane,Purdue
Tatum Bethune,Florida St.
Jaylen Harrell,Michigan
Cornelius Johnson,Michigan
KT Leveston,Kansas St.
Kalen King,Penn St.
Nick Gargiulo,South Carolina
Jaylen Key,Alabama
